Official Symbol Interactor A,Official Symbol Interactor B
UBC,VKORC1L1
UBC,LOC440563
UBC,TPRA1
UBC,ARHGEF40
UBC,CNOT10
UBC,CPSF3L
UBC,DDIT4
UBC,SEC11A
UBC,TMEM45A
UBC,ST3GAL4
UBC,ALG3
UBC,HNRNPA1
UBC,ACTG2
UBC,C9orf114
UBC,CBWD7
UBC,CCNDBP1
UBC,DEGS1
UBC,RPL38
UBC,JMJD4
UBC,SLC25A5
UBC,GTF2A2
HEXIM1,CCNT1
HEXIM1,CDK9
HEXIM1,RN7SK
CDK9,RN7SK
BRD4,HEXIM1
BRD4,RN7SK
UBC,TM7SF3
UBC,NOP58
UBC,RCCD1
UBC,ATL2
UBC,SEMA4B
UBC,UBQLN4
UBC,DLG1
UBC,TMEM59
UBC,MARS
UBC,CNNM3
UBC,OS9
UBC,APRT
UBC,ZFAND6
UBC,CASC5
UBC,LCLAT1
UBC,RAB2A
UBC,UBAP2
UBC,UBE2T
UBC,RPTOR
UBC,ACOT9
UBC,RPL18A
UBC,PAPSS2
UBC,TMEM9
UBC,ITGA2
UBC,RNF185
UBC,PRDX2
UBC,RPL28
UBC,STAT6
UBC,RFC2
UBC,TRMT1
UBC,HIST3H3
UBC,DHX36
UBC,RAB8A
UBC,SMC6
UBC,RNF145
UBC,JOSD1
UBC,FOXRED1
UBC,QRICH1
UBC,GNAI1
UBC,MRFAP1
UBC,METTL2B
UBC,SERPINB1
UBC,PMF1
UBC,CENPF
UBC,DUS3L
UBC,DMD
UBC,NUDT19
UBC,WTAP
UBC,ALDH1A3
UBC,KCNK1
UBC,POM121C
UBC,NHP2
UBC,RPL11
UBC,DRG2
UBC,TNFAIP3
UBC,RARS
UBC,RPS25
UBC,RAP1B
UBC,DHRS1
UBC,SLMO2
UBC,SLC33A1
UBC,NHP2L1
UBC,HPS6
UBC,RAB3GAP2
UBC,FAM111B
UBC,PPIH
UBC,MYO1F
UBC,TMPRSS3
UBC,RGPD5
UBC,CLTC
UBC,C19orf52
UBC,PFKM
UBC,AUP1
UBC,CDK11A
UBC,AVIL
UBC,EIF3C
UBC,KPNB1
UBC,LMAN1
UBC,PTGES3
UBC,PIGN
UBC,ITGB3BP
UBC,GLB1
UBC,MRPL20
UBC,MYH11
UBC,RUVBL2
UBC,PTRH2
UBC,TOM1
UBC,COBRA1
UBC,C8orf55
UBC,PFDN6
UBC,KRT6B
UBC,PCBP2
UBC,SHKBP1
UBC,ORC5
UBC,XRCC5
UBC,RNF220
UBC,TMEM87A
UBC,ZMPSTE24
UBC,PSMD6
UBC,PVR
UBC,TMEM135
UBC,TOR1AIP1
UBC,STK17A
UBC,HLA-E
UBC,CHPT1
UBC,TMX2
UBC,PNKD
UBC,GTF2E2
UBC,RPL8
UBC,ARF4
UBC,TSR1
UBC,FAM46C
UBC,DENND5B
UBC,WRAP53
UBC,STEAP4
UBC,HIAT1
UBC,CHD1L
UBC,KYNU
UBC,VAMP7
UBC,MYO1E
UBC,HIST2H3C
UBC,HNRNPD
UBC,NIT2
UBC,OSBPL11
UBC,KLHL26
UBC,UBAP2L
UBC,POLA1
UBC,DDI2
UBC,NSFL1C
UBC,ECEL1
UBC,HIST1H2AA
UBC,CTPS
UBC,BSG
UBC,SUMO4
UBC,SRP9
UBC,ACSL3
UBC,NECAB3
UBC,HSPD1
UBC,PSMD11
UBC,UBE2C
UBC,N4BP3
UBC,TH1L
UBC,SHMT1
UBC,RPL36
UBC,FAM127C
UBC,RHOBTB3
UBC,DAZAP2
UBC,PSAT1
UBC,THOC7
UBC,ATF7IP
UBC,CEP350
UBC,POLG
UBC,LTBR
UBC,CD81
UBC,DPYD
UBC,BOD1L
UBC,GNB1L
UBC,GPR89A
UBC,PJA2
UBC,MRPS2
UBC,RAB1B
UBC,SLC44A1
UBC,SREBF2
UBC,TALDO1
UBC,SCAP
UBC,RAC3
UBC,CD83
UBC,SNX10
UBC,RBCK1
UBC,MRPL22
UBC,PACSIN2
UBC,PIAS4
UBC,GTF2H2D
UBC,HIST1H2BB
UBC,AP2A2
UBC,ALDOB
UBC,LAMC1
UBC,TUBB8
UBC,SLC5A6
UBC,CD9
UBC,CLCN7
UBC,CALU
UBC,C1orf43
UBC,MED21
UBC,SLC12A6
UBC,HIST2H2AB
UBC,FLVCR1
UBC,EIF5
UBC,NAPRT1
UBC,SMARCD1
UBC,HIPK3
UBC,SEC62
UBC,MPZL2
UBC,MRC2
UBC,POTEE
UBC,DHX37
UBC,UACA
UBC,SARS
UBC,DNAJC9
UBC,DNAJB11
UBC,ADSL
UBC,RHOT2
UBC,KDM5C
UBC,SORT1
UBC,KIAA1967
UBC,SDC1
UBC,KIRREL
UBC,UFD1L
UBC,TRIM27
UBC,NUDT1
UBC,ANAPC7
UBC,MPRIP
UBC,ADCY9
UBC,DKFZp761E198
UBC,ACTN1
UBC,PDK4
UBC,KCTD14
UBC,NUP210
UBC,ANKRD28
UBC,PSMC3
UBC,TRIM16
UBC,HERPUD1
UBC,RG9MTD1
UBC,FLNA
UBC,UBE2E2
UBC,RASIP1
UBC,PYCR1
UBC,UBA1
UBC,PLAA
UBC,PRKACA
UBC,TRABD
UBC,PRMT7
UBC,NOC4L
UBC,BCR
UBC,RPS9
UBC,NR3C1
UBC,FAM175B
UBC,WDR33
UBC,ERGIC2
UBC,CD99L2
UBC,TRIM34
UBC,MFAP3L
UBC,MAGOH
UBC,PFDN5
UBC,C16orf42
UBC,CCT2
UBC,HIST1H2BJ
UBC,ZUFSP
UBC,C6orf106
UBC,TCIRG1
UBC,SLC26A6
UBC,PCYT1A
UBC,CLP1
UBC,COG2
UBC,SRGAP2
UBC,VAMP2
UBC,C20orf4
UBC,TSPAN6
UBC,SF3B5
UBC,GPRC5A
UBC,ERC2
UBC,ATP1A2
UBC,PSMB4
UBC,SNRPE
UBC,IBA57
UBC,UCK2
UBC,ATP5C1
UBC,TMED7
UBC,TFDP1
UBC,GMFG
UBC,C20orf24
UBC,PA2G4
UBC,RP2
UBC,C2orf47
UBC,RBM4
UBC,CDK9
UBC,FNBP4
UBC,STX4
UBC,RPL21
UBC,ABHD4
UBC,TSTA3
UBC,UBE2R2
UBC,JMJD6
UBC,ERI1
UBC,NUP93
UBC,CNOT7
UBC,ZWINT
UBC,IKBIP
UBC,ATP5G2
UBC,SOHLH2
UBC,TUBB4A
UBC,CDK12
UBC,KIAA0368
UBC,RPL27A
UBC,NOMO1
UBC,PDCD4
UBC,KIF23
UBC,ROCK2
UBC,TRIM62
UBC,EIF4A1
UBC,DAG1
UBC,ASNA1
UBC,SUN1
UBC,LTA4H
UBC,ST13
UBC,Sharpin
UBC,PRMT1
UBC,FGR
UBC,DNAJB3
UBC,UBE2E3
UBC,DPH2
UBC,PIAS1
UBC,MAP2K3
UBC,KRT2
UBC,GK5
UBC,NKRF
UBC,KAT5
UBC,PPP4R1
UBC,KLHDC4
UBC,ETFA
UBC,HIST1H2BH
UBC,TCEB1
UBC,PEX3
UBC,TATDN1
UBC,HNRNPA0
UBC,SLC6A6
UBC,OGT
UBC,HIST1H1B
UBC,ASMTL
UBC,EFEMP1
UBC,RHEB
UBC,ACTL6B
UBC,KLHL24
UBC,PRIM2
UBC,PDE4D
UBC,ATP2A2
UBC,MAF1
UBC,RUVBL1
UBC,PRPH
UBC,ACTG1
UBC,NVL
UBC,NUP133
UBC,TUBA3C
UBC,ANKRD13A
UBC,HSPBP1
UBC,GSTM1
UBC,TAGLN2
UBC,KIFC1
UBC,SYT12
UBC,IMP3
UBC,C14orf166
UBC,GNAL
UBC,WDR82
UBC,FLII
UBC,SUPT16H
UBC,ABCF2
UBC,LAMB2
UBC,IKBKAP
UBC,RNASEH2A
UBC,BAG6
UBC,POLR2H
UBC,BRAP
UBC,NUDT21
UBC,CDC123
UBC,INSR
UBC,FBXW5
UBC,XYLB
UBC,SLC38A1
UBC,ODC1
UBC,ZC3H7A
UBC,KIDINS220
UBC,VCPIP1
UBC,CORO1B
UBC,APPL1
UBC,RPP40
UBC,COPB1
UBC,KRT18
UBC,RAB1A
UBC,KRT76
UBC,ZKSCAN1
UBC,RNF169
UBC,NAT10
UBC,CPNE1
UBC,SNX14
UBC,VLDLR
UBC,FAM184B
UBC,MRTO4
UBC,CNTROB
UBC,HEATR5A
UBC,NLE1
UBC,DDX11
UBC,TMED5
UBC,STC2
UBC,NAGLU
UBC,PANK2
UBC,UBE3C
UBC,TPGS1
UBC,SLC43A3
UBC,POLR3H
UBC,H2AFZ
UBC,OLR1
UBC,TMED9
UBC,XBP1
UBC,PODXL2
UBC,RPP30
UBC,STK17B
UBC,ERBB2IP
UBC,MGA
UBC,UBA52
UBC,UCKL1
UBC,KRT72
UBC,MYO19
UBC,BCAP29
UBC,RYBP
UBC,EHMT1
UBC,NOTCH2
UBC,DHX34
UBC,APEH
UBC,DYNC1H1
UBC,ATP13A3
UBC,ATP5F1
UBC,DPH5
UBC,PLEKHH3
UBC,HMGB1
UBC,MAEA
UBC,XIAP
UBC,ALG1
UBC,NOL11
UBC,GEMIN5
UBC,RAB5A
UBC,S100A10
UBC,TDP2
UBC,RNGTT
UBC,SLC5A3
UBC,RNF122
UBC,SMU1
UBC,RPS4Y2
UBC,LCMT2
UBC,ILF2
UBC,KRT3
UBC,UBE2Z
UBC,HMGCS1
UBC,IPO11
UBC,PIK3C2B
UBC,CXCR7
UBC,CHRNA5
UBC,KDM3B
UBC,NDUFA13
UBC,NSUN2
UBC,AK2
UBC,PGK2
UBC,XPR1
UBC,VASN
UBC,SEC61A2
UBC,ALDH3A2
UBC,TRIM25
UBC,INTS6
UBC,ANTXR1
UBC,EIF3L
UBC,CCDC138
UBC,POMZP3
UBC,G3BP1
UBC,SRSF2
UBC,TMEM170A
UBC,TRMT112
UBC,MDH2
UBC,PPP5C
UBC,KLHL5
UBC,GTPBP4
UBC,RAB34
UBC,C19orf79
UBC,IER3IP1
UBC,KIAA0415
UBC,IDE
UBC,PLD2
UBC,MRFAP1L1
UBC,TMEM183A
UBC,SRP68
UBC,STRA6
UBC,RSU1
UBC,TTC8
UBC,RPS24
UBC,MCTS1
UBC,ARF6
UBC,XRCC6
UBC,EIF2C3
UBC,SPECC1
UBC,UBE2B
UBC,SREBF1
UBC,AURKB
UBC,SRSF9
UBC,EP400
UBC,POLR3B
UBC,CDK5RAP1
UBC,MED24
UBC,CAPN1
UBC,GGCT
UBC,AMOTL2
UBC,NDUFAF4
UBC,FSCN1
UBC,PHF5A
UBC,SIRT1
UBC,PLK1
UBC,LRRC59
UBC,PSMC6
UBC,VAMP8
UBC,COX6B1
UBC,FAM60A
UBC,LRRK1
UBC,ENOPH1
UBC,TUBB2B
UBC,SP140L
UBC,TBC1D15
UBC,MAGEA12
UBC,COMMD3
UBC,C12orf4
UBC,DCAKD
UBC,MSMO1
UBC,ITCH
UBC,TBL3
UBC,XXYLT1
UBC,C10orf54
UBC,SLC7A5
UBC,IMPDH1
UBC,ANP32A
UBC,11-Sep
UBC,FUK
UBC,TUBGCP5
UBC,RLF
UBC,HECTD1
UBC,TBX20
UBC,BABAM1
UBC,TMBIM6
UBC,CHST3
UBC,POR
UBC,ZRANB3
UBC,EGFLAM
UBC,PIAS3
UBC,SMARCB1
UBC,MTPAP
UBC,FUT11
UBC,AHCYL1
UBC,RFC3
UBC,PIM1
UBC,ENDOV
UBC,TOPORS
UBC,TTC4
UBC,CLPTM1
UBC,HENMT1
UBC,PGAM2
UBC,AARSD1
UBC,RNFT1
UBC,RNH1
UBC,SRSF8
UBC,MINA
UBC,TBL1XR1
UBC,NAV1
UBC,RPL35A
UBC,NAA10
UBC,RPS12
UBC,KCMF1
UBC,GEMIN4
UBC,PMF1-BGLAP
UBC,TFAP2B
UBC,TARS2
UBC,CD59
UBC,RPS20
UBC,HNRNPA2B1
UBC,PLCB3
UBC,SLC19A2
UBC,SOLH
UBC,YTHDF2
UBC,RDH11
UBC,SAFB2
UBC,SNRNP70
UBC,TMEM222
UBC,ITFG1
UBC,FKBP4
UBC,METTL5
UBC,ATP1A4
UBC,IER5L
UBC,HSPA1L
UBC,CNTLN
UBC,NPR1
UBC,QARS
UBC,HYAL1
UBC,TTI1
UBC,RPL17-C18ORF32
UBC,LOC730268
UBC,USP4
UBC,EEF1A2
UBC,ADAM15
UBC,RPS26
UBC,ABHD5
UBC,SPG20
UBC,GPI
UBC,INSIG1
UBC,PIGK
UBC,DLD
UBC,OXA1L
UBC,PLBD2
UBC,PKN3
UBC,RRP1
UBC,CCNI
UBC,ANXA7
UBC,HSPA4L
UBC,AP3D1
UBC,DPP8
UBC,STAM2
UBC,ID3
UBC,LRRC42
UBC,DCAF6
UBC,TARDBP
UBC,AXL
UBC,TMED2
UBC,FYTTD1
UBC,DSTN
UBC,SLC22A18
UBC,GMPPA
UBC,VDAC2
UBC,GRK6
UBC,PIEZO1
UBC,HIST1H2AC
UBC,PCNA
UBC,CPNE8
UBC,SNF8
UBC,KLHL21
UBC,AZIN1
UBC,ITPA
UBC,RetSat
UBC,LIMA1
UBC,RHPN2
UBC,SACM1L
UBC,YBX2
UBC,SLC30A6
UBC,COL1A1
UBC,RPA2
UBC,RPL12
UBC,GPN3
UBC,ABCC2
UBC,SMURF1
UBC,HIST1H2BG
UBC,KDM5A
UBC,GSTM4
UBC,PSMD2
UBC,MCF2
UBC,AASDHPPT
UBC,6-Mar
UBC,GLI3
UBC,ATP6V0A2
UBC,LGALS1
UBC,HSP90B1
UBC,NFKBIA
UBC,SUMF1
UBC,TUBGCP4
UBC,ANXA5
UBC,SLC6A9
UBC,ABCB6
UBC,ENO2
UBC,C20orf30
UBC,USP16
UBC,DNMBP
UBC,PELP1
UBC,YWHAQ
UBC,PIK3C2A
UBC,FAM46A
UBC,GNAS
UBC,DSCR3
UBC,VAMP3
UBC,ACLY
UBC,RPS6KA1
UBC,TNS4
UBC,PSMA8
UBC,ASXL2
UBC,PSMD14
UBC,C4BPB
UBC,EIF6
UBC,THUMPD1
UBC,ILF3
UBC,ENDOG
UBC,VPS16
UBC,SEC22C
UBC,LOC391322
UBC,CTNNA2
UBC,MPDU1
UBC,DIAPH1
UBC,EIF2C1
UBC,HUS1
UBC,TMX3
UBC,TAPBP
UBC,CXorf69
UBC,KRT6C
UBC,UBTF
UBC,ZNF496
UBC,SLC39A6
UBC,YWHAZ
UBC,ACTN4
UBC,HIST3H2BB
UBC,PREPL
UBC,CAPNS1
UBC,PRSS56
UBC,TMEM85
UBC,DCTN1
UBC,TBCA
UBC,LY6K
UBC,PABPC1
UBC,KIAA1586
UBC,PPAP2B
UBC,MAD2L1BP
UBC,KCTD3
UBC,DUSP14
UBC,RNF44
UBC,STX6
UBC,CYB561
UBC,SH2D4A
UBC,SLC2A3
UBC,PYCRL
UBC,NAA15
UBC,CDC45
UBC,PRPS2
UBC,FUBP1
UBC,BTN3A2
UBC,SLC39A7
UBC,KPNA2
UBC,DNAJC5
UBC,HIST1H2BN
UBC,HIATL1
UBC,RNF125
UBC,CARM1
UBC,TSEN34
UBC,RAB9A
UBC,GNG5
UBC,PRKAA2
UBC,SSR2
UBC,C10orf76
UBC,ALDH9A1
UBC,SLC12A2
UBC,CNOT8
UBC,CENPN
UBC,PTBP3
UBC,SNUPN
UBC,C12orf24
UBC,STT3A
UBC,LOC649330
UBC,HTATIP2
UBC,GABRR1
UBC,PTBP1
UBC,TMEM38B
UBC,HOXC10
UBC,SVOPL
UBC,BET1
UBC,DAZAP1
UBC,C14orf21
UBC,EIF4G2
UBC,WWP1
UBC,ELL2
UBC,KRAS
UBC,ANKRD13B
UBC,UHRF1
UBC,PPPDE2
UBC,ITGB1BP1
UBC,RNF114
UBC,HPD
UBC,RHOG
UBC,CTBP1
UBC,TMEM57
UBC,DHX40
UBC,RHOD
UBC,POLD2
UBC,GFM2
UBC,UTP20
UBC,YIPF4
UBC,GLT8D1
UBC,TBK1
UBC,WDR85
UBC,MYPN
UBC,SF3B1
UBC,TSC22D1
UBC,SUMO3
UBC,PPP3CA
UBC,IER2
UBC,ARPC2
UBC,ERGIC3
UBC,TAOK1
UBC,NBAS
UBC,PUM1
UBC,RPL10A
UBC,UBB
UBC,EIF2B3
UBC,VPS18
UBC,UBE2E1
UBC,STXBP3
UBC,CHRNA9
UBC,SEMA3F
UBC,RPL7
UBC,ATAD5
UBC,JTB
UBC,ARAP3
UBC,MGST3
UBC,PRMT5
UBC,PICALM
UBC,SLC46A1
UBC,MMS22L
UBC,SIGMAR1
UBC,YY1AP1
UBC,KARS
UBC,YIPF3
UBC,HPS5
UBC,MTO1
UBC,BCL2L12
UBC,RCC1
UBC,ITSN2
UBC,AURKC
UBC,GLE1
UBC,NHLRC2
UBC,HIST1H2BD
UBC,PSMD5
UBC,CCDC168
UBC,LSMD1
UBC,CCDC50
UBC,BCOR
UBC,NUTF2
UBC,TMC6
UBC,MTHFD1
UBC,RUSC1
UBC,DTX3L
UBC,LAS1L
UBC,RPS27L
UBC,SETD6
UBC,SUMO2
UBC,ENOSF1
UBC,PIGO
UBC,SMG9
UBC,BPNT1
UBC,SRP14
UBC,PFKP
UBC,ADH5
UBC,BUB1
UBC,NHEJ1
UBC,EIF3B
UBC,GSTO1
UBC,KRT7
UBC,LDHA
UBC,SF3B3
UBC,CYC1
UBC,RPS23
UBC,PLD3
UBC,UNC93B1
UBC,HERC4
UBC,RGPD8
UBC,CCNB1
UBC,NMRAL1
UBC,10-Sep
UBC,CSNK1G1
UBC,HBS1L
UBC,EPPK1
UBC,JAK1
UBC,USP14
UBC,NEDD4L
UBC,SLC4A2
UBC,GRHPR
UBC,ASCC1
UBC,PSMD4
UBC,RAP2B
UBC,POLR1A
UBC,MYBBP1A
UBC,TMEM104
UBC,ATP6V0A1
UBC,TNKS2
UBC,ETS2
UBC,RPS6KA6
UBC,CWF19L1
UBC,STAM
UBC,PDE4C
UBC,PLEKHA1
UBC,SLC25A4
UBC,WIPI2
UBC,MIF
UBC,SHMT2
UBC,VPS33A
UBC,PCBP1
UBC,GNB2
UBC,RHBDD3
UBC,AP3S1
UBC,WDR74
UBC,C1GALT1C1
UBC,PRR14L
UBC,SETDB1
UBC,COL15A1
UBC,H2AFV
UBC,F3
UBC,RANGAP1
UBC,MAGT1
UBC,RPL9
UBC,DCAF7
UBC,BTG3
UBC,CDKN1A
UBC,GTF2F1
UBC,ASF1B
UBC,FAM189B
UBC,MSTO1
UBC,HELZ
UBC,PCNXL3
UBC,HSDL1
UBC,ESPL1
UBC,PSMD12
UBC,ZMYM1
UBC,FAM83H
UBC,PRKCSH
UBC,DEF8
UBC,BAG3
UBC,TSC2
UBC,AHNAK
UBC,ACSL4
UBC,TROVE2
UBC,VANGL1
UBC,SAP30BP
UBC,IPO4
UBC,KLF13
UBC,MYO6
UBC,DNAJC16
UBC,ITPR3
UBC,GMDS
UBC,QPRT
UBC,MAD2L1
UBC,G6PD
UBC,OSTM1
UBC,ITGA5
UBC,RPL31
UBC,VPS52
UBC,MORC2
UBC,GPR89B
UBC,FDFT1
UBC,HSPA2
UBC,PRDX4
UBC,MYO10
UBC,NDUFV1
UBC,PDCD5
UBC,FSTL3
UBC,SIN3B
UBC,TNFRSF12A
UBC,IQGAP1
UBC,PCSK9
UBC,LRRC1
UBC,PRMT2
UBC,RPN1
UBC,GALE
UBC,GBF1
UBC,RPS6KC1
UBC,MED25
UBC,KRT1
UBC,KRT84
UBC,RPS21
UBC,MGRN1
UBC,HNRNPA1L2
UBC,AP2S1
UBC,OTUB1
UBC,ARL4D
UBC,CELF1
UBC,GTF2H3
UBC,TRIM11
UBC,UBE2D4
UBC,CDC20
UBC,ATP5B
UBC,CDA
UBC,DSG2
UBC,ERCC2
UBC,RINT1
UBC,SEC61A1
UBC,UQCRC1
UBC,ALPP
UBC,GINS1
UBC,RPLP1
UBC,CHAF1B
UBC,HNRNPL
UBC,AHCYL2
UBC,LARS
UBC,EIF3F
UBC,TRIM47
UBC,SKIV2L2
UBC,GOT1
UBC,ATIC
UBC,TSSC1
UBC,DAPK3
UBC,ST7
UBC,SLC9A3R1
UBC,SNRNP40
UBC,CDK11B
UBC,ADIPOR2
UBC,SLC43A2
UBC,SMC1A
UBC,PTTG1
UBC,PRPS1L1
UBC,GNB1
UBC,RPS15
UBC,HDAC2
UBC,WBP2
UBC,WBP5
UBC,CD63
UBC,GCN1L1
UBC,KCNJ12
UBC,MYH9
UBC,RHOV
UBC,YARS2
UBC,RABAC1
UBC,RPL7L1
UBC,DALRD3
UBC,ATP2B3
UBC,RNF168
UBC,CPS1
UBC,RPL26L1
UBC,APOBEC3B
UBC,PPP6C
UBC,FAM86A
UBC,CDK2
UBC,PDHA1
UBC,EFHD2
UBC,PABPC4
UBC,PRC1
UBC,CTBP2
UBC,NCOA4
UBC,CCT4
UBC,BCAT2
UBC,RNF167
UBC,UBA6
UBC,PYGL
UBC,BAIAP2L1
UBC,BRAT1
UBC,PSMG2
UBC,YDJC
UBC,LRRC40
UBC,CD46
UBC,TOR1AIP2
UBC,MDM2
UBC,1-Mar
UBC,MPZL1
UBC,LY6E
UBC,EXOSC2
UBC,NOB1
UBC,FANCL
UBC,ITGB5
UBC,GLUD1
UBC,C20orf111
UBC,UBE4A
UBC,SLC35F5
UBC,G3BP2
UBC,EIF5B
UBC,SCO2
UBC,ZYG11A
UBC,ZNF131
UBC,SERPINH1
UBC,DHPS
UBC,PINK1
UBC,GPR89C
UBC,PARP4
UBC,DIMT1
UBC,ABCC3
UBC,TNFRSF1A
UBC,NAPB
UBC,MED17
UBC,TSPAN4
UBC,PSMA1
UBC,CDK5RAP2
UBC,VAMP1
UBC,TUBA1B
UBC,PEG10
UBC,CNOT2
UBC,KRT74
UBC,BRIP1
UBC,BIRC2
UBC,DNAJB12
UBC,RBM39
UBC,NDFIP2
UBC,B4GALT1
UBC,HIST1H2AJ
UBC,BOP1
UBC,POLD1
UBC,CTNND1
UBC,ERMP1
UBC,CAPZA1
UBC,USP1
UBC,HIPK2
UBC,TNK2
UBC,ARMC1
UBC,DDX3X
UBC,PNMA1
UBC,MMP15
UBC,UBR4
UBC,NISCH
UBC,BBS2
UBC,PFDN2
UBC,UBE2A
UBC,MTX1
UBC,LAMC3
UBC,HIST1H4A
UBC,ARPC5
UBC,KIF20A
UBC,ACBD3
UBC,C7orf30
UBC,ARL17B
UBC,CRYZ
UBC,KNTC1
UBC,CDK5
UBC,FAM40B
UBC,SLC2A14
UBC,ITGAV
UBC,GFM1
UBC,UXT
UBC,TFAP2D
UBC,ALOXE3
UBC,PSMB3
UBC,CBWD2
UBC,JUNB
UBC,ARCN1
UBC,PRTFDC1
UBC,MST1R
UBC,CPD
UBC,FZD2
UBC,FEZ2
UBC,EIF3CL
UBC,BZW1
UBC,TRIM16L
UBC,SEC14L1
UBC,ELAVL2
UBC,ATP1B1
UBC,EXOSC3
UBC,LEPREL4
UBC,POLE2
UBC,LOC100294033
UBC,RSF1
UBC,PRIM1
UBC,ITGB1
UBC,LTBP4
UBC,NPEPPS
UBC,SEC24C
UBC,SHCBP1
UBC,ARHGAP23
UBC,NUP85
UBC,WDR34
UBC,UBE2G2
UBC,IST1
UBC,DMPK
UBC,UBE2N
UBC,PODXL
UBC,CMIP
UBC,UBXN6
UBC,METAP1
UBC,PIGT
UBC,USP24
UBC,HIST1H1T
UBC,DPM1
UBC,LAMB1
UBC,PRPS1
UBC,SIK3
UBC,ALG9
UBC,CDC42
UBC,C15orf38-AP3S2
UBC,DIP2A
UBC,SGK1
UBC,PRDX3
UBC,RPL5
UBC,ARL6IP4
UBC,VAPA
UBC,SAAL1
UBC,TTC38
UBC,NQO2
UBC,NUP88
UBC,FAS
UBC,BTN3A1
UBC,LRIF1
UBC,AP3S2
UBC,RBMX
UBC,EEF1G
UBC,HM13
UBC,GSTM2
UBC,VRK1
UBC,SCCPDH
UBC,DCTN4
UBC,MAPK14
UBC,STAT5A
UBC,ACSL1
UBC,RRP7A
UBC,SDR16C5
UBC,PLSCR1
UBC,ALAS1
UBC,TMEM18
UBC,ATP4B
UBC,SNX4
UBC,PSMC5
UBC,C1orf124
UBC,RPS19
UBC,FEN1
UBC,RPS5
UBC,CELSR2
UBC,TGDS
UBC,MYL6B
UBC,PEX6
UBC,S100A13
UBC,TM9SF3
UBC,UNG
UBC,DNAJA1
UBC,TFAP2A
UBC,HINT3
UBC,SRP72
UBC,TRMT61A
UBC,UBAC1
UBC,TMED1
UBC,PDXK
UBC,FOXRED2
UBC,RUNDC1
UBC,PARP12
UBC,SNRNP200
UBC,TIGD5
UBC,PSME4
UBC,OSBPL3
UBC,XPO5
UBC,RPS27
UBC,KLHL9
UBC,DNTTIP2
UBC,C5AR1
UBC,NDUFA9
UBC,KRT77
UBC,CTH
UBC,HMOX1
UBC,TIMM23B
UBC,SLC29A1
UBC,ADCY3
UBC,CCDC14
UBC,MYL6
UBC,DHCR7
UBC,SETD3
UBC,GPR108
UBC,PSMB5
UBC,GYS2
UBC,NAT9
UBC,DAGLB
UBC,NRAS
UBC,SKP1
UBC,RNF149
UBC,RNASEH2C
UBC,SLC1A4
UBC,TMCO1
UBC,RANBP17
UBC,DHRS13
UBC,MYH14
UBC,HMGCR
UBC,GTF3C5
UBC,LIFR
UBC,PML
UBC,KIAA0664
UBC,DOCK7
UBC,SLC16A3
UBC,NFYC
UBC,APH1B
UBC,7-Mar
UBC,GNB2L1
UBC,SLC7A11
UBC,PKLR
UBC,SULT1A3
UBC,CDC16
UBC,H3F3C
UBC,HAX1
UBC,ANO6
UBC,ATXN3
UBC,TMED3
UBC,IARS
UBC,EIF2AK1
UBC,PGAM4
UBC,ATP11C
UBC,C12orf48
UBC,AP3M1
UBC,MLST8
UBC,TMEM131
UBC,ERCC6
UBC,EHD4
UBC,CUTA
UBC,AP2B1
UBC,FAT1
UBC,PFKL
UBC,YY1
UBC,TMEM66
UBC,DNAJA2
UBC,RPSA
UBC,NPTN
UBC,EPS15L1
CDK9,CTDP1
UBC,15-Sep
UBC,TEX10
UBC,PUS7
UBC,EFNB2
UBC,MAPK3
UBC,DHX30
UBC,UBAC2
UBC,STOM
UBC,AGL
UBC,PTP4A2
UBC,YIF1B
UBC,SLC16A6
UBC,MICB
UBC,GLP2R
UBC,ALPPL2
UBC,STT3B
UBC,DNAJB6
UBC,AFF1
UBC,USP22
UBC,TOMM20
UBC,HEATR2
UBC,MFAP3
UBC,MED16
UBC,POLE
UBC,ALG8
UBC,CCDC77
UBC,TIMP1
UBC,RIOK3
UBC,C7orf42
UBC,GTF2H2
UBC,TMEM106B
UBC,SMARCA1
UBC,P4HA2
UBC,NUP188
UBC,CBWD3
UBC,NQO1
UBC,SLC2A1
UBC,ACTR1A
UBC,ZFP36L2
UBC,ACTR3
UBC,PMPCA
UBC,RICTOR
UBC,ZNF330
UBC,NET1
UBC,BST2
UBC,TUBA1C
UBC,DERL2
UBC,ZDHHC9
UBC,MME
UBC,KDM5D
UBC,ASS1
UBC,ABCA2
UBC,NME1
UBC,YEATS2
UBC,RAP1A
UBC,NFE2L1
UBC,Cep164
UBC,ACOT7
UBC,PIGA
UBC,ABCG2
UBC,GTF3C4
UBC,PUF60
UBC,TUBAL3
UBC,RPS17
UBC,ABR
UBC,PPID
UBC,VAMP4
UBC,CLDN12
UBC,SMARCA5
UBC,S100A4
UBC,GINS3
UBC,ZZEF1
UBC,TFR2
UBC,RAB35
UBC,DPY19L4
UBC,RPUSD1
UBC,NUP107
UBC,UBR2
UBC,ECD
UBC,TMEM111
UBC,ARF3
UBC,SPATA5L1
UBC,SEC22B
UBC,WDR41
UBC,SMS
UBC,HIST1H2AI
UBC,TOM1L2
UBC,EIF4E
UBC,SMCHD1
UBC,UBR5
UBC,PLEKHG4
UBC,PSMC1
UBC,NPC1
UBC,USP33
UBC,PDIA3
